[(3, 0), (0, 5), (5, 5), (5, 6), (6, 6)];1;2;(3, 4);[3.2, 2.6, 2.1, 4.333, 3.5, 4.833, 3.5];Greedy Algorithm
[(4, 3), (3, 0), (0, 5), (5, 5), (5, 6), (6, 6)];1;2;(2, 6);[3.6, 2.1, 3.0, 3.4, 3.5, 4.9, 4.9];Minimax Algorithm
[(4, 3), (3, 0), (0, 5), (5, 5), (5, 6), (6, 6), (6, 2)];1;2;(2, 4);[3.367, 2.6, 3.1, 4.333, 4.0009999999999994, 5.0, 4.667];Greedy Algorithm
[(4, 3), (3, 0), (0, 5), (5, 5), (5, 6), (6, 6), (6, 2), (2, 4)];1;1;(1, 4);[4.367, 4.0, 4.5, 3.4, 5.0009999999999994, 5.067, 5.867];Minimax Algorithm
[(4, 3), (3, 0), (0, 5), (5, 5), (5, 6), (6, 6), (6, 2), (2, 4), (4, 1)];1;1;(1, 5);[3.7, 3.6, 3.1, 4.5, 5.5, 5.0, 5.0];Greedy Algorithm
[(4, 3), (3, 0), (0, 5), (5, 5), (5, 6), (6, 6), (6, 2), (2, 4), (4, 1), (1, 5)];0;1;(2, 5);[5.2, 5.0, 5.0, 3.4, 6.0, 6.4, 6.2];Minimax Algorithm
[(4, 3), (3, 0), (0, 5), (5, 5), (5, 6), (6, 6), (6, 2), (2, 4), (4, 1), (1, 5), (5, 2)];0;1;(2, 3);[4.7, 3.6, 4.1, 5.0, 9.0, 8.0, 6.0];Greedy Algorithm
[(4, 3), (3, 0), (0, 5), (5, 5), (5, 6), (6, 6), (6, 2), (2, 4), (4, 1), (1, 5), (5, 2), (2, 3)];0;1;(3, 6);[7.0, 5.0, 6.0, 4.4, 8.0, 7.4, 7.0];Minimax Algorithm
[];0;1;(2, 2);[2.286, 2.286, 3.144, 2, 2.286, 1, 2.286];Minimax Algorithm
[(2, 2)];0;1;(2, 5);[2.333, 1.5, 3.332, 1.167, 3.333, 4.334, 1.333];Greedy Algorithm
[(2, 2), (2, 5)];1;1;(2, 3);[2.6189999999999998, 2.619, 4.144, 2.9990000000000006, 2.286, 2.6660000000000004, 2.6189999999999998];Minimax Algorithm
[(3, 2), (2, 2), (2, 5)];1;1;(5, 5);[2.733, 1.533, 4.332, 3.0, 3.333, 4.4, 1.733];Greedy Algorithm
[(3, 2), (2, 2), (2, 5), (5, 5)];1;1;(1, 3);[2.6189999999999998, 3.1999999999999997, 4.258, 3.0660000000000003, 2.286, 3.8, 3.019];Minimax Algorithm
[(1, 3), (3, 2), (2, 2), (2, 5), (5, 5)];1;1;(5, 6);[2.733, 3.75, 4.916, 4.35, 3.333, 4.7, 3.25];Greedy Algorithm
[(1, 3), (3, 2), (2, 2), (2, 5), (5, 5), (5, 6)];1;2;(1, 4);[2.6189999999999998, 3.3, 4.686, 3.233, 2.5, 4.8, 4.5];Minimax Algorithm
[(4, 1), (1, 3), (3, 2), (2, 2), (2, 5), (5, 5), (5, 6)];1;2;(4, 5);[2.733, 4.833, 5.166, 4.7330000000000005, 4.333, 4.666, 4.0];Greedy Algorithm
[(5, 4), (4, 1), (1, 3), (3, 2), (2, 2), (2, 5), (5, 5), (5, 6)];1;2;(0, 5);[3.334, 3.4669999999999996, 5.234, 3.734, 3.5, 5.8, 5.001];Minimax Algorithm
[(0, 5), (5, 4), (4, 1), (1, 3), (3, 2), (2, 2), (2, 5), (5, 5), (5, 6)];1;2;(0, 4);[3.733, 5.333, 5.833, 5.2330000000000005, 4.5, 5.666, 5.5];Greedy Algorithm
[(4, 0), (0, 5), (5, 4), (4, 1), (1, 3), (3, 2), (2, 2), (2, 5), (5, 5), (5, 6)];1;2;(4, 6);[4.334, 3.4669999999999996, 5.234, 3.734, 4.5, 5.8, 5.001];Minimax Algorithm
[(4, 0), (0, 5), (5, 4), (4, 1), (1, 3), (3, 2), (2, 2), (2, 5), (5, 5), (5, 6), (6, 4)];1;2;(3, 4);[5.333, 5.333, 6.333, 9.0, 6.0, 7.333, 7.0];Greedy Algorithm
[];0;0;(3, 3);[1, 2, 2, 3.286, 2, 0, 3.286];Minimax Algorithm
[(3, 3)];0;0;(3, 5);[2.333, 2.333, 1.333, 4.167, 2.333, 3.6650000000000005, 0.5];Greedy Algorithm
[(3, 3), (3, 5)];2;0;(3, 4);[1.5, 2.833, 2.833, 4.286, 3.166, 3.5, 3.786];Minimax Algorithm
[(4, 3), (3, 3), (3, 5)];2;0;(5, 5);[2.4, 2.8, 1.7999999999999998, 5.167, 4.2, 4.0, 0.5670000000000001];Greedy Algorithm
[(4, 3), (3, 3), (3, 5), (5, 5)];1;0;(4, 6);[1.7999999999999998, 2.733, 2.733, 4.4, 3.066, 4.0, 4.2];Minimax Algorithm
[(6, 4), (4, 3), (3, 3), (3, 5), (5, 5)];2;0;(2, 6);[2.1999999999999997, 2.733, 3.1999999999999997, 4.4, 3.133, 4.0, 4.2];Minimax Algorithm
[(2, 6), (6, 4), (4, 3), (3, 3), (3, 5), (5, 5)];2;0;(2, 3);[2.767, 3.067, 3.067, 5.333, 5.467, 5.335, 3.0999999999999996];Greedy Algorithm
[(3, 2), (2, 6), (6, 4), (4, 3), (3, 3), (3, 5), (5, 5)];1;0;(0, 3);[3.0, 2.833, 4.65, 5.4, 3.233, 4.5, 4.65];Minimax Algorithm
[(0, 3), (3, 2), (2, 6), (6, 4), (4, 3), (3, 3), (3, 5), (5, 5)];1;0;(0, 4);[4.1, 3.5, 3.5, 6.333, 6.0, 7.0, 3.433];Greedy Algorithm
[(4, 0), (0, 3), (3, 2), (2, 6), (6, 4), (4, 3), (3, 3), (3, 5), (5, 5)];0;0;(4, 4);[4.1, 3.5, 3.5, 6.333, 6.0, 7.0, 3.433];Greedy Algorithm
[];0;0;(1, 1);[1.286, 2.572, 1, 1.286, 2, 2, 3];Minimax Algorithm
[(1, 1)];0;0;(1, 4);[1.167, 4.334, 2.333, 2.167, 3.333, 1, 1];Greedy Algorithm
[(1, 1), (1, 4)];1;2;(1, 6);[1.619, 3.572, 1.333, 1.286, 3.333, 2.333, 3.6660000000000004];Minimax Algorithm
[(6, 1), (1, 1), (1, 4)];1;2;(4, 6);[1.5670000000000002, 5.334, 2.333, 2.167, 3.333, 1.4, 2.8];Greedy Algorithm
[(6, 1), (1, 1), (1, 4), (4, 6)];2;2;(3, 6);[1.486, 3.886, 1.933, 2.8, 4.333, 2.8000000000000003, 4.4];Minimax Algorithm
[(6, 1), (1, 1), (1, 4), (4, 6), (6, 3)];2;2;(3, 4);[1.667, 5.334, 2.5, 3.167, 3.5, 1.5, 4.0];Greedy Algorithm
[(6, 1), (1, 1), (1, 4), (4, 6), (6, 3), (3, 4)];1;2;(2, 6);[2.236, 3.886, 3.5, 3.95, 5.25, 3.5500000000000003, 4.4];Minimax Algorithm
[(2, 6), (6, 1), (1, 1), (1, 4), (4, 6), (6, 3), (3, 4)];1;2;(2, 2);[2.334, 5.334, 5.667999999999999, 3.834, 3.667, 2.167, 5.0];Greedy Algorithm
[(2, 2), (2, 6), (6, 1), (1, 1), (1, 4), (4, 6), (6, 3), (3, 4)];0;2;(0, 4);[5.0, 4.6, 5.0009999999999994, 3.867, 5.667, 4.467, 5.2];Minimax Algorithm
